23;0.0431;0.9924
85;0.2977;25.3085
38;0.3599;13.6774
76;0.6597;50.1357
52;0.571;29.6933
15;0.2314;3.4712
84;0.1856;15.5937
0;0.4068;0.0
92;0.0891;8.1955
56;0.5119;28.6644
56;0.0589;3.2997
57;0.8698;49.5813
95;0.7445;70.7245
60;0.1572;9.4296
66;0.5741;37.892
64;0.1124;7.1964
45;0.4643;20.8952
23;0.7953;18.2918
61;0.5134;31.3178
88;0.646;56.8447
57;0.4856;27.6789
77;0.0865;6.6608
87;0.9227;80.2714
42;0.3212;13.4902
71;0.3337;23.6916
77;0.1997;15.3788
60;0.347;20.8229
6;1.0;5.9997
13;0.6754;8.7797
65;0.6413;41.6837
94;0.6134;57.6642
81;0.7386;59.8297
51;0.2909;14.8357
63;0.773;48.6997
69;0.3101;21.395
50;0.3453;17.2658
95;0.9979;94.7973
3;0.0827;0.2481
94;0.0383;3.6016
16;0.6373;10.1968
25;0.0536;1.3406
71;0.6755;47.96
26;0.0351;0.9119
97;0.0408;3.9597
74;0.9298;68.8031
85;0.1247;10.5958
21;0.0249;0.5238
66;0.3341;22.0482
33;0.3977;13.1238
4;0.403;1.6119
43;0.461;19.824
29;0.2375;6.8875
73;0.7195;52.5236
5;0.3379;1.6895
27;0.6565;17.7255
47;0.8644;40.6277
31;0.5562;17.2413
90;0.7146;64.3149
25;0.7135;17.8366
84;0.4133;34.7186
42;0.0514;2.1603
15;0.8167;12.2503
56;0.7022;39.3214
12;0.3788;4.545
86;0.5588;48.0589
3;0.4595;1.3786
19;0.9536;18.1193
65;0.1654;10.7532
12;0.9603;11.5232
63;0.4072;25.6525
55;0.7775;42.7639
6;0.3413;2.048
74;0.9098;67.3261
34;0.0919;3.125
15;0.4382;6.5735
25;0.7288;18.2192
80;0.6299;50.3914
1;0.3425;0.3425
27;0.2894;7.8141
92;0.8335;76.6854
96;0.4884;46.8873
83;0.6986;57.9823
77;0.8014;61.7095
59;0.7485;44.1612
42;0.3124;13.1211
29;0.2871;8.3273
32;0.0875;2.8001
11;0.8008;8.8085
1;0.0518;0.0518
16;0.9577;15.3226
24;0.6428;15.4278
53;0.8484;44.9675
12;0.8911;10.6933
96;0.5875;56.4007
26;0.0016;0.042
46;0.8203;37.7335
89;0.8333;74.1676
1;0.3102;0.3102
85;0.4384;37.2598
16;0.8223;13.1561
