75;0.3666;27.497
94;0.059;5.5449
64;0.6732;43.0839
97;0.4337;42.0723
75;0.6859;51.4462
35;0.5014;17.5485
54;0.4215;22.7596
36;0.4712;16.9622
9;0.9178;8.2599
37;0.5193;19.2135
24;0.1435;3.4431
59;0.3656;21.5715
22;0.9737;21.421
20;0.3928;7.857
21;0.3328;6.9884
19;0.6445;12.246
5;0.4012;2.0059
64;0.5854;37.4653
63;0.2724;17.1624
94;0.0295;2.7717
45;0.7443;33.4936
46;0.7056;32.4589
52;0.7983;41.5107
32;0.8939;28.6063
32;0.028;0.8966
38;0.1131;4.2976
5;0.9823;4.9115
80;0.3737;29.8968
37;0.3382;12.5136
45;0.5577;25.098
58;0.1082;6.2781
32;0.1038;3.3227
9;0.8569;7.7117
56;0.6068;33.9802
43;0.154;6.6206
97;0.2368;22.9695
93;0.7257;67.4881
90;0.6395;57.5567
36;0.1789;6.4404
73;0.1599;11.6733
93;0.0863;8.0259
64;0.0062;0.3998
89;0.3995;35.553
19;0.823;15.6365
15;0.7558;11.3377
8;0.9063;7.2502
24;0.6205;14.8925
26;0.0102;0.2653
3;0.589;1.767
16;0.0295;0.4722
26;0.4518;11.7456
90;0.4765;42.8889
93;0.9624;89.4999
1;0.435;0.435
35;0.958;33.5302
54;0.77;41.5796
62;0.9351;57.9763
62;0.2852;17.6841
2;0.3937;0.7874
96;0.1002;9.6209
15;0.8802;13.2034
92;0.615;56.5763
14;0.7002;9.8032
96;0.9776;93.8528
80;0.0549;4.3953
45;0.7035;31.6566
3;0.132;0.3961
49;0.514;25.1858
24;0.5547;13.3133
98;0.427;41.8478
6;0.9126;5.4758
61;0.8668;52.8752
73;0.7907;57.7206
26;0.8221;21.3745
89;0.4861;43.266
13;0.9951;12.9363
52;0.8365;43.4968
48;0.1981;9.5068
65;0.6448;41.9129
4;0.3003;1.2012
82;0.0925;7.5819
14;0.1774;2.4832
81;0.1401;11.3446
46;0.5151;23.6927
96;0.2845;27.3128
49;0.9179;44.9764
43;0.3054;13.1318
39;0.5527;21.5542
22;0.2933;6.4535
46;0.4941;22.7272
46;0.287;13.2016
95;0.6344;60.2727
97;0.5311;51.5171
13;0.7577;9.8499
72;0.02;1.439
81;0.1968;15.9372
36;0.8027;28.8968
97;0.0379;3.6806
40;0.4541;18.1622
78;0.0554;4.3249
